query	hit	cobertura_query	cobertura_hit	identidad	evalue	bitscore	especie_hit	titulo_hit
lcl|NC_002745.2_prot_SA_RS01675_300	VFG049781(gb|WP_001557576)	92.16867469879519	100.0	100.0	1.7699999999999999e-112	315.0	Staphylococcus aureus subsp. aureus Mu50	VFG049781(gb|WP_001557576) (esaG) TIGR01741 family protein [Type VII secretion system (VF0403) - Effector delivery system (VFC0086)] [Staphylococcus aureus subsp. aureus Mu50]
lcl|NC_002745.2_prot_SA_RS10405_1951	VFG001798(gb|WP_000239607)	100.0	83.03030303030303	99.635	0.0	569.0	Staphylococcus aureus subsp. aureus COL	VFG001798(gb|WP_000239607) (hlb) beta-hemolysin [Beta-hemolysin (VF0002) - Exotoxin (VFC0235)] [Staphylococcus aureus subsp. aureus COL]
lcl|NC_002745.2_prot_SA_RS10580_1986	VFG006840(gb|WP_010990170)	74.00468384074941	74.47795823665894	37.072	9.14e-67	219.0	Listeria innocua Clip11262	VFG006840(gb|WP_010990170) (agrC) sensor histidine kinase [AgrA/AgrC (VF0793) - Regulation (VFC0301)] [Listeria innocua Clip11262]
lcl|NC_002745.2_prot_SA_RS15135_1526	VFG004983(gb|WP_001235656)	68.52589641434263	70.91633466135458	35.0	2.72e-19	84.0	Staphylococcus aureus subsp. aureus MRSA252	VFG004983(gb|WP_001235656) (seln) staphylococcal enterotoxin type N [SE (VF0020) - Exotoxin (VFC0235)] [Staphylococcus aureus subsp. aureus MRSA252]
lcl|NC_002745.2_prot_SA_RS15170_1760	VFG004968(gb|NP_374934)	51.750972762645915	100.0	100.0	4.9699999999999995e-95	275.0	Staphylococcus aureus subsp. aureus N315	VFG004968(gb|NP_374934) (yent1) enterotoxin Yent1 [SE (VF0020) - Exotoxin (VFC0235)] [Staphylococcus aureus subsp. aureus N315]
lcl|NC_002745.2_prot_SA_RS15265_1357	VFG017120(gb|WP_001109369)	100.0	100.0	99.944	0.0	21165.0	Staphylococcus aureus subsp. aureus JH9	VFG017120(gb|WP_001109369) (ebh) hyperosmolarity resistance protein Ebh [Cell wall associated fibronectin binding protein ebh (VF0995) - Immune modulation (VFC0258)] [Staphylococcus aureus subsp. aureus JH9]
lcl|NC_002745.2_prot_SA_RS15445_2666	VFG045297(gb|WP_011213307)	54.54545454545455	99.2094861660079	38.492	5.88e-60	196.0	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	VFG045297(gb|WP_011213307) (wbuZ) glycosyl amidation-associated protein WbuZ [LPS (VF0171) - Immune modulation (VFC0258)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
lcl|NC_002745.2_prot_WP_000002973.1_2257	VFG019533(gb|WP_000238754)	96.56862745098039	98.99497487437186	61.421	1.04e-91	266.0	Helicobacter pylori P12	VFG019533(gb|WP_000238754) (ureG) urease accessory protein (ureG) [Urease (VF0050) - Stress survival (VFC0282)] [Helicobacter pylori P12]
lcl|NC_002745.2_prot_WP_000008673.1_2254	VFG006476(gb|WP_011115250)	99.64973730297723	99.82425307557118	60.07	0.0	707.0	Helicobacter hepaticus ATCC 51449	VFG006476(gb|WP_011115250) (ureB) urease beta subunit UreB, urea amidohydrolase [Urease (VF0050) - Stress survival (VFC0282)] [Helicobacter hepaticus ATCC 51449]
lcl|NC_002745.2_prot_WP_000024139.1_2533	VFG031407(gb|WP_015289456)	75.6857855361596	78.31168831168831	51.797	0.0	634.0	Mycobacterium canettii CIPT 140070010	VFG031407(gb|WP_015289456) (ctpV) copper-translocating P-type ATPase [Copper exporter (VF0849) - Nutritional/Metabolic factor (VFC0272)] [Mycobacterium canettii CIPT 140070010]
lcl|NC_002745.2_prot_WP_000030072.1_2589	VFG044201(gb|WP_011267793)	91.68539325842697	91.04803493449782	31.628	3.44e-64	213.0	Pseudomonas syringae pv. syringae B728a	VFG044201(gb|WP_011267793) (PSYR_RS13390) diaminobutyrate--2-oxoglutarate transaminase [Achromobactin biosynthesis and transport (VF0922) - Nutritional/Metabolic factor (VFC0272)] [Pseudomonas syringae pv. syringae B728a]
lcl|NC_002745.2_prot_WP_000030811.1_983	VFG047569(gb|WP_014549390)	95.32163742690058	96.25360230547551	46.018	1.71e-95	287.0	Francisella cf. novicida Fx1	VFG047569(gb|WP_014549390) (purM) phosphoribosylaminoimidazole synthetase [Purine biosynthesis (VF0559) - Nutritional/Metabolic factor (VFC0272)] [Francisella cf. novicida Fx1]
lcl|NC_002745.2_prot_WP_000034716.1_1506	VFG043573(gb|NP_219906)	92.95081967213115	89.39393939393939	61.421	0.0	714.0	Chlamydia trachomatis D/UW-3/CX	VFG043573(gb|NP_219906) (dnaK) chaperone protein DnaK [Adherence; porin (VF0713) - Adherence (VFC0001)] [Chlamydia trachomatis D/UW-3/CX]
lcl|NC_002745.2_prot_WP_000034846.1_1893	VFG004976(gb|WP_025174055)	98.84615384615384	100.0	99.611	0.0	529.0	Staphylococcus aureus subsp. aureus N315	VFG004976(gb|WP_025174055) (selp) staphylococcal enterotoxin type P [SE (VF0020) - Exotoxin (VFC0235)] [Staphylococcus aureus subsp. aureus N315]
lcl|NC_002745.2_prot_WP_000035058.1_864	VFG019080(gb|WP_000731918)	98.4771573604061	74.90636704119851	50.49	3.55e-64	199.0	Streptococcus pneumoniae CGSP14	VFG019080(gb|WP_000731918) (slrA) peptidylprolyl isomerase [Streptococcal lipoprotein rotamase A (VF1047) - Adherence (VFC0001)] [Streptococcus pneumoniae CGSP14]
lcl|NC_002745.2_prot_WP_000036633.1_1182	VFG039489(gb|WP_011996623)	89.6774193548387	88.88888888888889	34.532	3.83e-25	94.0	Coxiella burnetii Dugway 5J108-111	VFG039489(gb|WP_011996623) (rimP) Coxiella Dot/Icm type IVB secretion system translocated effector  [T4SS secreted effectors (VF0696) - Effector delivery system (VFC0086)] [Coxiella burnetii Dugway 5J108-111]
lcl|NC_002745.2_prot_WP_000037322.1_146	VFG004461(gb|WP_000037322)	100.0	100.0	100.0	4.31e-168	462.0	Staphylococcus aureus subsp. aureus N315	VFG004461(gb|WP_000037322) (cap8B) type 8 capsular polysaccharide synthesis protein Cap8B [Capsule (VF0003) - Immune modulation (VFC0258)] [Staphylococcus aureus subsp. aureus N315]
lcl|NC_002745.2_prot_WP_000041897.1_1079	VFG004891(gb|WP_000769836)	78.57142857142857	80.08658008658008	30.0	2.06e-06	47.4	Staphylococcus aureus subsp. aureus USA300_FPR3757	VFG004891(gb|WP_000769836) (set36) superantigen-like protein SSL7 [SSLs (VF0990) - Exotoxin (VFC0235)] [Staphylococcus aureus subsp. aureus USA300_FPR3757]
lcl|NC_002745.2_prot_WP_000044547.1_2648	VFG043589(gb|WP_000044536)	100.0	100.0	98.855	0.0	3988.0	Staphylococcus aureus subsp. aureus COL	VFG043589(gb|WP_000044536) (sasA) serine-rich repeat glycoprotein adhesin SasA [SraP (VF1012) - Adherence (VFC0001)] [Staphylococcus aureus subsp. aureus COL]
lcl|NC_002745.2_prot_WP_000046022.1_1983	VFG004794(gb|WP_002494082)	96.15384615384616	100.0	92.0	7.99e-10	46.6	Staphylococcus epidermidis RP62A	VFG004794(gb|WP_002494082) (hld) delta-hemolysin [-hemolysin (VF0007) - Exotoxin (VFC0235)] [Staphylococcus epidermidis RP62A]
lcl|NC_002745.2_prot_WP_000047255.1_2128	VFG016237(gb|WP_010899012)	88.98678414096916	93.48837209302326	37.624	2.7599999999999997e-38	132.0	Bacillus halodurans C-125	VFG016237(gb|WP_010899012) (hlyIII) hemolysin III family protein [Hemolysin III (VF0655) - Exotoxin (VFC0235)] [Bacillus halodurans C-125]
